filename,0lig,1cla,2uph,4sad,6qui
おどる紲星あかり__BB素材+使用例_[bw9IFEjJufw]_0,22,33,6,34,53
おどる紲星あかり__BB素材+使用例_[bw9IFEjJufw]_1,21,27,5,12,29
おどる紲星あかり__BB素材+使用例_[bw9IFEjJufw]_2,51,21,8,12,16
おどる紲星あかり__BB素材+使用例_[bw9IFEjJufw]_3,54,21,9,12,15
おどる紲星あかり__BB素材+使用例_[bw9IFEjJufw]_4,58,21,9,13,15
おどる紲星あかり__BB素材+使用例_[bw9IFEjJufw]_5,30,25,7,10,22
おどる紲星あかり__BB素材+使用例_[bw9IFEjJufw]_6,15,35,4,19,44
おどる紲星あかり__BB素材+使用例_[bw9IFEjJufw]_7,71,85,25,32,67
鈴木梨央_⧸_親と子の「花は咲く」_[aE_f5cGw8SA]_0,11.0,55.0,7.0,48.0,95.0
鈴木梨央_⧸_親と子の「花は咲く」_[aE_f5cGw8SA]_1,10.0,44.0,5.0,24.0,60.0
鈴木梨央_⧸_親と子の「花は咲く」_[aE_f5cGw8SA]_2,13.0,39.0,4.0,23.0,53.0
鈴木梨央_⧸_親と子の「花は咲く」_[aE_f5cGw8SA]_3,11.0,32.0,4.0,22.0,47.0
鈴木梨央_⧸_親と子の「花は咲く」_[aE_f5cGw8SA]_4,11.0,37.0,4.0,20.0,48.0
鈴木梨央_⧸_親と子の「花は咲く」_[aE_f5cGw8SA]_5,13.0,31.0,5.0,27.0,50.0
鈴木梨央_⧸_親と子の「花は咲く」_[aE_f5cGw8SA]_6,13.0,26.0,4.0,18.0,36.0
鈴木梨央_⧸_親と子の「花は咲く」_[aE_f5cGw8SA]_7,8.0,37.0,5.0,23.0,54.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_0,28.0,64.0,8.0,16.0,61.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_1,39.0,31.0,10.0,10.0,24.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_2,44.0,35.0,13.0,13.0,27.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_3,47.0,44.0,14.0,15.0,34.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_4,36.0,57.0,10.0,14.0,48.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_5,48.0,27.0,13.0,12.0,19.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_6,47.0,47.0,14.0,16.0,36.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_7,29.0,29.0,8.0,10.0,25.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_0,28.0,64.0,8.0,16.0,61.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_1,39.0,31.0,10.0,10.0,24.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_2,44.0,35.0,13.0,13.0,27.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_3,47.0,44.0,14.0,15.0,34.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_4,36.0,57.0,10.0,14.0,48.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_5,48.0,27.0,13.0,12.0,19.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_6,47.0,47.0,14.0,16.0,36.0
【GUMI】KING【Kanaria】_[cm-l2h6GB8Q]_7,29.0,29.0,8.0,10.0,25.0
【Ado】うっせぇわ_[Qp3b-RXtz4w]_0,31.0,14.0,7.0,6.0,8.0
【Ado】うっせぇわ_[Qp3b-RXtz4w]_1,31.0,12.0,9.0,8.0,5.0
【Ado】うっせぇわ_[Qp3b-RXtz4w]_2,38.0,16.0,14.0,14.0,4.0
【Ado】うっせぇわ_[Qp3b-RXtz4w]_3,34.0,9.0,8.0,7.0,4.0
【Ado】うっせぇわ_[Qp3b-RXtz4w]_4,35.0,15.0,12.0,11.0,4.0
【Ado】うっせぇわ_[Qp3b-RXtz4w]_5,36.0,10.0,11.0,13.0,6.0
【Ado】うっせぇわ_[Qp3b-RXtz4w]_6,29.0,13.0,11.0,13.0,5.0
【Ado】うっせぇわ_[Qp3b-RXtz4w]_7,37.0,9.0,10.0,9.0,5.0
心もよう__井上陽水_[ZsqLYT_iel4]_0,10.0,45.0,5.0,28.0,66.0
心もよう__井上陽水_[ZsqLYT_iel4]_1,9.0,48.0,5.0,32.0,71.0
心もよう__井上陽水_[ZsqLYT_iel4]_2,8.0,41.0,5.0,30.0,65.0
心もよう__井上陽水_[ZsqLYT_iel4]_3,18.0,27.0,4.0,17.0,30.0
心もよう__井上陽水_[ZsqLYT_iel4]_4,10.0,42.0,5.0,34.0,69.0
心もよう__井上陽水_[ZsqLYT_iel4]_5,13.0,24.0,4.0,18.0,35.0
心もよう__井上陽水_[ZsqLYT_iel4]_6,21.0,22.0,5.0,9.0,17.0
心もよう__井上陽水_[ZsqLYT_iel4]_7,30.0,39.0,9.0,13.0,33.0
アベンジャーズのテーマ_[svFh2MfXNtM]_0,43.0,39.0,8.0,41.0,59.0
アベンジャーズのテーマ_[svFh2MfXNtM]_1,22.0,27.0,5.0,27.0,42.0
アベンジャーズのテーマ_[svFh2MfXNtM]_2,37.0,39.0,9.0,10.0,28.0
アベンジャーズのテーマ_[svFh2MfXNtM]_3,14.0,21.0,3.0,10.0,22.0
アベンジャーズのテーマ_[svFh2MfXNtM]_4,19.0,26.0,4.0,25.0,40.0
アベンジャーズのテーマ_[svFh2MfXNtM]_5,23.0,26.0,4.0,24.0,37.0
アベンジャーズのテーマ_[svFh2MfXNtM]_6,23.0,47.0,5.0,26.0,56.0
アベンジャーズのテーマ_[svFh2MfXNtM]_7,53.0,28.0,8.0,25.0,29.0
リサイタルズ_-_｢888月_〜夏にも程がある〜｣［Official_Music_Video］_[rwgA7mVXcM0]_0,50.0,30.0,14.0,14.0,19.0
リサイタルズ_-_｢888月_〜夏にも程がある〜｣［Official_Music_Video］_[rwgA7mVXcM0]_1,45.0,24.0,10.0,8.0,15.0
リサイタルズ_-_｢888月_〜夏にも程がある〜｣［Official_Music_Video］_[rwgA7mVXcM0]_2,45.0,38.0,13.0,12.0,25.0
リサイタルズ_-_｢888月_〜夏にも程がある〜｣［Official_Music_Video］_[rwgA7mVXcM0]_3,40.0,26.0,12.0,10.0,15.0
リサイタルズ_-_｢888月_〜夏にも程がある〜｣［Official_Music_Video］_[rwgA7mVXcM0]_4,38.0,28.0,10.0,9.0,18.0
リサイタルズ_-_｢888月_〜夏にも程がある〜｣［Official_Music_Video］_[rwgA7mVXcM0]_5,43.0,31.0,12.0,11.0,19.0
リサイタルズ_-_｢888月_〜夏にも程がある〜｣［Official_Music_Video］_[rwgA7mVXcM0]_6,40.0,42.0,11.0,11.0,29.0
リサイタルズ_-_｢888月_〜夏にも程がある〜｣［Official_Music_Video］_[rwgA7mVXcM0]_7,47.0,36.0,13.0,15.0,22.0
葉加瀬太郎_情熱大陸【OFFICIAL】_[53B3ZrhfnOA]_0,76.0,23.0,12.0,13.0,15.0
葉加瀬太郎_情熱大陸【OFFICIAL】_[53B3ZrhfnOA]_1,46.0,25.0,6.0,13.0,23.0
葉加瀬太郎_情熱大陸【OFFICIAL】_[53B3ZrhfnOA]_2,20.0,27.0,4.0,12.0,28.0
葉加瀬太郎_情熱大陸【OFFICIAL】_[53B3ZrhfnOA]_3,34.0,33.0,6.0,18.0,20.0
葉加瀬太郎_情熱大陸【OFFICIAL】_[53B3ZrhfnOA]_4,29.0,22.0,5.0,6.0,16.0
葉加瀬太郎_情熱大陸【OFFICIAL】_[53B3ZrhfnOA]_5,50.0,29.0,14.0,12.0,19.0
葉加瀬太郎_情熱大陸【OFFICIAL】_[53B3ZrhfnOA]_6,42.0,26.0,6.0,27.0,36.0
葉加瀬太郎_情熱大陸【OFFICIAL】_[53B3ZrhfnOA]_7,18.0,41.0,4.0,14.0,40.0
King_Gnu_-_白日_[ony539T074w]_0,21.0,60.0,7.0,20.0,66.0
King_Gnu_-_白日_[ony539T074w]_1,30.0,21.0,6.0,17.0,23.0
King_Gnu_-_白日_[ony539T074w]_2,24.0,15.0,8.0,11.0,5.0
King_Gnu_-_白日_[ony539T074w]_3,41.0,27.0,8.0,19.0,28.0
King_Gnu_-_白日_[ony539T074w]_4,34.0,15.0,12.0,18.0,13.0
King_Gnu_-_白日_[ony539T074w]_5,41.0,24.0,16.0,17.0,5.0
King_Gnu_-_白日_[ony539T074w]_6,20.0,23.0,4.0,10.0,17.0
King_Gnu_-_白日_[ony539T074w]_7,43.0,34.0,7.0,36.0,41.0
米津玄師_Kenshi_Yonezu_-_KICKBACK_[M2cckDmNLMI]_0,81.0,21.0,11.0,21.0,21.0
米津玄師_Kenshi_Yonezu_-_KICKBACK_[M2cckDmNLMI]_1,70.0,24.0,14.0,15.0,19.0
米津玄師_Kenshi_Yonezu_-_KICKBACK_[M2cckDmNLMI]_2,66.0,16.0,13.0,12.0,11.0
米津玄師_Kenshi_Yonezu_-_KICKBACK_[M2cckDmNLMI]_3,45.0,14.0,9.0,9.0,9.0
米津玄師_Kenshi_Yonezu_-_KICKBACK_[M2cckDmNLMI]_4,19.0,19.0,3.0,7.0,16.0
米津玄師_Kenshi_Yonezu_-_KICKBACK_[M2cckDmNLMI]_5,53.0,14.0,13.0,11.0,8.0
米津玄師_Kenshi_Yonezu_-_KICKBACK_[M2cckDmNLMI]_6,54.0,16.0,9.0,10.0,9.0
米津玄師_Kenshi_Yonezu_-_KICKBACK_[M2cckDmNLMI]_7,29.0,61.0,10.0,29.0,62.0
TVアニメ『リコリス・リコイル』ノンテロップEDムービー｜さユり「花の塔」_[WIKKyrGGaDk]_0,39.0,14.0,10.0,8.0,5.0
TVアニメ『リコリス・リコイル』ノンテロップEDムービー｜さユり「花の塔」_[WIKKyrGGaDk]_1,48.0,27.0,14.0,11.0,17.0
TVアニメ『リコリス・リコイル』ノンテロップEDムービー｜さユり「花の塔」_[WIKKyrGGaDk]_2,49.0,19.0,14.0,11.0,9.0
TVアニメ『リコリス・リコイル』ノンテロップEDムービー｜さユり「花の塔」_[WIKKyrGGaDk]_3,47.0,28.0,14.0,13.0,8.0
TVアニメ『リコリス・リコイル』ノンテロップEDムービー｜さユり「花の塔」_[WIKKyrGGaDk]_4,43.0,26.0,13.0,12.0,7.0
TVアニメ『リコリス・リコイル』ノンテロップEDムービー｜さユり「花の塔」_[WIKKyrGGaDk]_5,49.0,27.0,16.0,14.0,7.0
