filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,melspectrogram,0lig,1cla,2uph,3pas,4sad,5emo,6qui,7fea
Addiction_trim.mp3,0.372907072,0.34902063,3018.872682,2805.506456,6512.917949,0.138773042,6.490102768,30,10,40,55,5,35,5,10
BLACKPINK_trim.mp3,0.35278362,0.128206819,2189.316208,2123.367336,4436.757686,0.097609947,1.280406475,30,10,10,20,20,50,45,30
BR_trim.mp3,0.389098048,0.230144382,2824.498432,2413.805036,5427.315902,0.159617049,2.546838284,50,40,50,35,20,25,10,30
ELECT_trim.mp3,0.373962849,0.33842662,2814.363671,2720.914317,6172.79985,0.128924074,5.88575983,60,40,80,75,15,55,5,35
Fino_A_Chiamarmi_Eva_trim.mp3,0.28139773,0.118809544,1837.438776,2328.764532,3881.981955,0.065217314,0.90586549,5,70,0,0,60,85,75,20
KING_trim.mp3,0.268649697,0.146541208,2838.401012,2654.423414,6038.552894,0.130134677,1.306794047,85,60,55,30,5,15,50,55
Nectar_trim.mp3,0.401483059,0.14710772,2314.588798,2208.980207,4591.238904,0.122090343,1.34644115,70,75,50,10,30,40,50,0
Oh_Sorry_Ya_trim.mp3,0.48583138,0.281272709,3021.703264,2959.952651,6773.768603,0.125701004,4.378441334,15,25,0,10,20,45,55,0
PLASTIC_ISLE_trim.mp3,0.423617899,0.276374698,2488.419225,2550.860212,5301.776274,0.098376578,4.139155865,70,25,10,25,20,30,20,0
Rocketeer_trim.mp3,0.441691577,0.119404785,2652.080234,2658.826622,5827.331208,0.116194675,0.756229579,35,0,60,60,5,5,10,40
SQUEEZE_trim.mp3,0.392569214,0.244891509,2397.834511,2713.806493,5526.80407,0.080458631,3.364515781,100,80,70,5,0,10,0,0
Ur-Style_trim.mp3,0.342297018,0.097477145,3141.842685,2717.174481,6330.339668,0.168273828,0.525963724,60,95,25,5,15,40,65,45
WiSH_VOYAGE_trim.mp3,0.458938599,0.291464955,2757.670905,2749.5113,6049.607462,0.104519696,4.782748699,95,60,30,65,0,50,10,5
risk_trim.mp3,0.375525326,0.303946286,2521.38062,2506.524253,5394.098145,0.097286086,5.12284565,90,45,50,50,60,30,10,10
アンジェリカ_trim.mp3,0.271378815,0.195242673,2475.345401,2523.166542,5309.442596,0.111711434,2.145376682,15,80,0,0,50,65,65,20
コネクト_trim.mp3,0.326855421,0.202908233,1954.966224,2467.512,4579.655641,0.072589508,2.400725365,50,20,10,35,15,65,25,10
コールボーイ_trim.mp3,0.344090432,0.275641531,2930.489786,2650.772997,6049.360595,0.161545739,3.888910532,85,20,50,30,45,20,10,50
ジエンド_trim.mp3,0.418054342,0.25155887,3226.04197,2887.026346,6781.42566,0.141216455,3.37167573,50,60,25,30,70,100,20,50
ドラマ_trim.mp3,0.259044111,0.309968412,2381.791099,2373.673855,4690.479971,0.115709807,5.287106991,30,25,40,75,20,75,15,10
プライド革命_trim.mp3,0.425621897,0.314844698,2779.197518,2441.124898,5392.051794,0.150880811,4.74976778,60,15,35,70,5,45,10,5
マイナーロールストーリー_trim.mp3,0.306469858,0.105647169,1799.166937,2292.567857,3994.865094,0.059453809,0.698142469,10,70,0,0,75,45,60,45
リスミー_trim.mp3,0.290588886,0.248872355,2146.200621,2453.437116,4676.221724,0.086153296,3.913824081,15,50,15,20,80,100,70,65
レコード・レド_ルカ_trim.mp3,0.375295877,0.186821461,2592.323576,2517.289516,5394.108011,0.140327885,1.778917193,70,50,15,20,10,50,25,30
愛されルート_A_or_B_trim.mp3,0.349764019,0.248634025,2280.180663,2440.631905,4789.727187,0.105759069,3.562743664,45,5,35,60,40,50,0,50
異類婚姻譚_trim.mp3,0.295292199,0.277407289,2323.950524,2514.781392,5170.949961,0.107755313,4.383057117,60,10,20,5,10,50,5,15
