filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,melspectrogram,0lig,1cla,2uph,3pas,4sad,5emo,6qui,7fea
純愛ロゴス_trim.mp3,0.344256997,0.18033497,1518.896082,1966.834691,3295.001863,0.062367107,2.02243638,50,60,0,0,75,50,40,25
アイネクライネ_trim.mp3,0.397070318,0.390690804,2043.456276,2154.138282,4109.891815,0.096109774,8.399634361,10,5,15,10,30,40,10,35
浸透圧_trim.mp3,0.30764693,0.221619263,2233.189808,2684.69817,5455.746932,0.078483696,2.904315472,10,100,60,35,20,90,80,35
転生林檎_trim.mp3,0.370334595,0.257563591,3154.510346,2828.856453,6625.87445,0.13891643,3.799041986,25,30,0,0,50,0,10,35
光よ_trim.mp3,0.426081121,0.375731498,2794.48843,2663.714783,5966.063924,0.141578509,7.184717655,10,0,100,60,60,30,0,100
ブルーベリーナイツ_trim.mp3,0.355747044,0.399746686,2264.626852,2329.900695,4828.837467,0.111073025,8.800208092,0,15,10,40,40,100,5,10
Butter-Fly_trim.mp3,0.383654267,0.267313957,2155.011297,2450.675396,4806.870934,0.084753456,4.021429062,60,25,40,10,0,30,5,0
紅蓮華_trim.mp3,0.440864474,0.211044192,2704.257614,2558.561857,5539.212899,0.134913365,2.318789959,40,10,65,100,20,65,10,45
送る詩_trim.mp3,0.315870553,0.264570564,2163.441175,2391.434142,4618.813737,0.10350202,3.854933262,40,65,5,10,25,75,75,25
ドラマツルギー_trim.mp3,0.415385485,0.325237155,2669.646059,2737.059139,5933.397455,0.100855021,5.734874249,35,15,45,5,5,60,35,40
WiSH_VOYAGE_trim.mp3,0.458938599,0.291464955,2757.670905,2749.5113,6049.607462,0.104519696,4.782748699,90,60,30,65,0,50,10,5
risk_trim.mp3,0.375525326,0.303946286,2521.38062,2506.524253,5394.098145,0.097286086,5.12284565,90,45,50,50,60,30,10,10
ぼかろころしあむ_trim.mp3,0.372284561,0.311554015,2255.841109,2368.917846,4755.144998,0.109913407,5.511000633,10,0,40,75,10,20,0,100
vivi_trim.mp3,0.469200432,0.270000905,2452.553515,2298.794696,4855.378974,0.137272413,3.714941263,0,90,0,10,100,100,20,85
Rocketeer_trim.mp3,0.441691577,0.119404785,2652.080234,2658.826622,5827.331208,0.116194675,0.756229579,35,0,60,60,5,5,10,40
妄想税_trim.mp3,0.358384341,0.266245276,2929.791315,2681.743187,6148.638301,0.154390662,4.00552845,40,10,50,20,5,15,15,10
異類婚姻譚_trim.mp3,0.295292199,0.277407289,2323.950524,2514.781392,5170.949961,0.107755313,4.383057117,60,10,20,5,10,50,5,15
パンドラボックス_trim.mp3,0.387393296,0.292279482,2297.938019,2245.507547,4687.371323,0.105750498,4.848239899,60,5,100,90,35,35,0,60
BR_trim.mp3,0.389098048,0.230144382,2824.498432,2413.805036,5427.315902,0.159617049,2.546838284,45,40,50,35,20,25,10,30
Ur-Style_trim.mp3,0.342297018,0.097477145,3141.842685,2717.174481,6330.339668,0.168273828,0.525963724,60,95,25,5,15,40,65,45
drop_of_regret_trim.mp3,0.404977381,0.143352866,2888.550319,2368.563011,5691.207253,0.186906655,1.162350535,0,70,15,5,70,75,60,80
All_Alone_With_You_trim.mp3,0.242012873,0.099864513,1698.337679,1951.090825,3262.730271,0.068065348,0.643808842,0,70,0,30,100,60,95,80
恋人ごっこ_trim.mp3,0.354855239,0.300333411,2411.091523,2606.366857,5472.743399,0.098492421,5.297925472,5,35,10,40,70,90,75,20
Dont_go_trim.mp3,0.329899311,0.126982182,3374.849717,2968.119147,7100.715396,0.152174817,1.610414267,25,100,5,15,55,60,100,35
BLACKPINK_trim.mp3,0.35278362,0.128206819,2189.316208,2123.367336,4436.757686,0.097609947,1.280406475,25,10,10,20,20,50,45,30
後の橋上_trim.mp3,0.421592444,0.27462703,2995.407106,2989.153876,6785.470896,0.124187271,4.064894199,75,20,40,30,10,50,15,5
青空Jumping_Heart_trim.mp3,0.427508056,0.306893796,3086.97462,2744.931584,6407.302923,0.16985347,4.509702682,100,76,65,80,0,70,0,0
DAYBREAK_FRONTLINE_trim.mp3,0.345939159,0.230605125,2848.268604,2875.163275,6401.685444,0.131202379,2.755045891,85,65,60,40,10,80,50,5
ドラマ_trim.mp3,0.259044111,0.309968412,2381.791099,2373.673855,4690.479971,0.115709807,5.287106991,45,25,40,75,20,75,15,10
レコード・レド_ルカ_trim.mp3,0.375295877,0.186821461,2592.323576,2517.289516,5394.108011,0.140327885,1.778917193,70,50,15,20,10,50,25,30
マイナーロールストーリー_trim.mp3,0.306469858,0.105647169,1799.166937,2292.567857,3994.865094,0.059453809,0.698142469,5,70,0,0,75,45,60,45
残酷な天使のテーゼ_trim.mp3,0.397990257,0.229780763,2575.416493,2450.529368,5246.909939,0.133348778,2.993088245,60,65,45,80,40,80,30,40
ごめんね_ごめんね_trim.mp3,0.497856408,0.302174747,3003.484972,2773.043885,6312.745161,0.132613333,4.697609901,55,0,80,30,5,30,5,75
Fino_A_Chiamarmi_Eva_trim.mp3,0.28139773,0.118809544,1837.438776,2328.764532,3881.981955,0.065217314,0.90586549,0,70,0,0,60,85,100,25
愛されルート_A_or_B_trim.mp3,0.349764019,0.248634025,2280.180663,2440.631905,4789.727187,0.105759069,3.562743664,40,5,35,60,40,50,0,50
Nectar_trim.mp3,0.401483059,0.14710772,2314.588798,2208.980207,4591.238904,0.122090343,1.34644115,65,75,50,10,30,40,50,0
elt_bitter_trim.mp3,0.378992915,0.276958495,2043.153996,2185.596868,4335.073786,0.089628332,4.368326664,60,10,0,0,30,60,45,5
地球最後の告白を_trim.mp3,0.349329829,0.257494867,3107.589621,2647.800773,6275.270388,0.165961959,3.51064086,65,20,30,30,15,70,5,10
アンジェリカ_trim.mp3,0.271378815,0.195242673,2475.345401,2523.166542,5309.442596,0.111711434,2.145376682,15,80,0,0,50,65,65,20
Lose_Yourself_trim.mp3,0.490741611,0.118732654,2312.328397,2299.719516,4666.980113,0.110188676,0.824449658,50,0,0,0,0,0,0,100
ARASHI_trim.mp3,0.484426677,0.186139539,2366.095099,2563.344088,5440.125438,0.097079534,2.352225065,60,25,15,10,5,5,50,15
How_Crazy_trim.mp3,0.31158635,0.182487458,2023.670535,2306.027719,4618.403188,0.088983139,2.043308496,0,60,0,10,35,25,70,40
Bad_Day_trim.mp3,0.355394155,0.172403947,2455.932056,2401.229555,5093.121094,0.128024155,1.570279956,15,50,0,55,35,80,90,20
KING_trim.mp3,0.268649697,0.146541208,2838.401012,2654.423414,6038.552894,0.130134677,1.306794047,100,60,55,30,5,15,50,55
Oh_Sorry_Ya_trim.mp3,0.48583138,0.281272709,3021.703264,2959.952651,6773.768603,0.125701004,4.378441334,30,25,0,10,20,45,55,0
罠_trim.mp3,0.387382001,0.226887658,2738.711607,2618.674004,5866.37286,0.127854858,2.80668664,25,0,40,50,0,30,0,0
Caffeine_trim.mp3,0.436557025,0.252680868,2576.921303,2754.020305,5779.006722,0.095022479,4.211901188,65,25,35,25,55,30,0,15
Feelin_Like_trim.mp3,0.451816469,0.312943012,2440.328773,2649.440465,5478.156643,0.096183992,6.351258278,65,40,20,5,10,30,35,15
Undertale_Megalovania_trim.mp3,0.444455802,0.177034214,2562.490246,2566.246704,5548.358117,0.127055543,1.536896825,65,20,100,95,0,25,10,10
コネクト_trim.mp3,0.326855421,0.202908233,1954.966224,2467.512,4579.655641,0.072589508,2.400725365,45,20,10,35,15,65,25,10
LET_IT_SHINE_trim.mp3,0.47176528,0.296428978,2739.733018,2684.543789,5978.671974,0.111422915,4.991125584,75,25,25,35,10,40,30,10
深海20love_trim.mp3,0.477081537,0.160494253,2096.888549,2220.846649,4346.407051,0.098850876,1.428235054,85,70,50,35,30,90,15,5
ミラーチューン_trim.mp3,0.320805252,0.301622987,2507.512016,2544.665545,5332.559421,0.123786855,5.019676208,65,80,25,0,0,30,20,5
百代峠_trim.mp3,0.344997019,0.254553765,2235.786703,2416.602818,4831.812449,0.090459015,3.865511417,15,45,0,15,65,100,55,15
ジエンド_trim.mp3,0.418054342,0.25155887,3226.04197,2887.026346,6781.42566,0.141216455,3.37167573,55,60,25,30,95,100,20,50
